"source","af","bg","ca","zh_CN","zh_TW","hr","cs","da","nl","en","en_CA","en_GB","en_US","et","fi","fr","fr_CA","de","el","hi","hu","it","ja","ko","mi","no","pl","pt","pt_BR","ro","ru","sr","es","es_AR","es_419","es_US","sv","tr","uk","vi","eo","gd","si","sl","lv","id"
"Requires a 64-bit Linux distro","","","","需 64 位 Linux 操作系统。","需要64位元的Linux發行版","","","","","","Requires a 64-bit Linux distro","Requires a 64-bit Linux distro","Requires a 64-bit Linux distro","Vajalik on 64-bitine Linux distro","","Nécessite une distribution Linux 64 bits","Nécessite une distribution Linux 64 bits","Benötigt eine 64-Bit-Linux-Distribution","","","","Richiede una distribuzione Linux a 64 bit","64ビット版のLinuxディストリビューションが必要です","64비트 리눅스 distro가 필요합니다.","","Krever en 64-biters Linux distro","Wymagana jest 64-bitowa dystrybucja Linuxa","","","","Требуется 64-разрядная редакция Linux дистрибутива","","Requiere una distribución Linux de 64 bits","Requiere una distribución Linux de 64 bits","Requiere una distribución Linux de 64 bits","Requiere una distribución Linux de 64 bits","","","Потрібен 64-розрядний дистрибутив Linux","","","","","Zahtevan je 64-bitni Linux distro","",""
"Download for Linux ({{architecture}})","","","","下载 Linux 版本 ({{architecture}})","下載 Linux 版本 ({{architecture}})","","","","","","Download for Linux ({{architecture}})","Download for Linux ({{architecture}})","Download for Linux ({{architecture}})","Laadi alla Linux'ile ({{architecture}})","","Télécharger pour Linux ({{architecture}})","Télécharger pour Linux ({{architecture}})","Download für Linux ({{architecture}})","","","","Scarica per per Linux ({{architecture}})","Linux版 ({{architecture}}) をダウンロード","리눅스용 다운로드 ({{architecture}})","","Last ned for Linux ({{architecture}})","Pobierz dla Linux ({{architecture}})","","","","Скачать для Linux ({{architecture}})","","Descargar para Linux ({{architecture}})","Descargar para Linux ({{architecture}})","Descargar para Linux ({{architecture}})","Descargar para Linux ({{architecture}})","","","Завантажити для Linux ({{architecture}})","","","","","Prenesi za Linux ({{architecture}})","",""
"Download for Intel","","","","下载基于英特尔的版本","下載intel版本","","","","","","Download for Intel","Download for Intel","Download for Intel","Laadi alla Intel'ile","","Télécharger pour Intel","Télécharger pour Intel","Für Intel herunterladen","","","","Scarica per Intel","Intel版 をダウンロード","Intel용 다운로드","","Last ned for Intel","Pobierz dla Intel","","","","Скачать для Intel","","Descargar para Intel","Descargar para Intel","Descargar para Intel","Descargar para Intel","","","Завантажити для Intel","","","","","Prenesi za Intel","",""
"Download for Google Chrome","","","","下载谷歌 Chrome 浏览器版本","下載chrome版","","","","","","Download for Google Chrome","Download for Google Chrome","Download for Google Chrome","Laadi alla Google Chrome'ile","","Télécharger pour Google Chrome","Télécharger pour Google Chrome","Download für Google Chrome","","","","Scarica Google Chrome","Google Chrome 版をダウンロード","구글 Chrome용 다운로드","","Last ned for Google Chrome","Pobierz dla Google Chrome","","","","Скачать для Google Chrome","","Descargar para Google Chrome","Descargar para Google Chrome","Descargar para Google Chrome","Descargar para Google Chrome","","","Завантажити для Google Chrome","","","","","Prenesi za Google Chrome","",""
"Add to Chrome","","","","添加到 Chrome 浏览器","新增至chrome","","","","","","Add to Chrome","Add to Chrome","Add to Chrome","Lisa Chrome'i","","Ajouter à Chrome","Ajouter à Chrome","Bei Chrome hinzufügen","","","","Aggiungi a Chrome","Chromeに追加","Chrome에 추가","","Legg til i Chrome","Dodaj do Chrome","","","","Добавить в Chrome","","Añadir a Chrome","Añadir a Chrome","Añadir a Chrome","Añadir a Chrome","","","Додати в Chrome","","","","","Dodaj na Chrome","",""
"More options","","","","更多选项","更多選項","","","","","","More options","More options","More options","Rohkem valikuid","","Plus d'options","Plus d'options","Mehr Optionen","","","","Altre opzioni","その他のオプション","옵션 더 보기","","Flere alternativer","Więcej opcji","","","","Другие варианты","","Más opciones","Más opciones","Más opciones","Más opciones","","","Інші варіанти","","","","","Več možnosti","",""
"Thanks for downloading ModernDeck","","","","感谢您下载 ModernDeck","感謝您下載ModernDeck","","","","","","Thanks for downloading ModernDeck","Thanks for downloading ModernDeck","Thanks for downloading ModernDeck","Täname, et laadisite alla ModernDeck'i","","Merci d'avoir téléchargé ModernDeck","Merci d'avoir téléchargé ModernDeck","Danke fürs Herunterladen von ModernDeck","","","","Grazie per aver scaricato ModernDeck","ModernDeck をダウンロードしていただきありがとうございます","모던덱을 다운로드해 주셔서 고맙습니다.","","Takk for at du laster ned ModernDeck","Dziękujemy za pobranie ModernDeck","","","","Благодарим за загрузку ModernDeck","","Gracias por descargar ModernDeck","Gracias por descargar ModernDeck","Gracias por descargar ModernDeck","Gracias por descargar ModernDeck","","","Дякуємо за завантаження ModernDeck","","","","","Hvala za prenos Twitter odjemalca ModernDeck","",""
"Requires 64-bit {{version}} or later","","","","需要 64 位 {{version}} 或更新系统版本","需要 64 位元 {{version}} 或更新系統版本","","","","","","Requires 64-bit {{version}} or later","Requires 64-bit {{version}} or later","Requires 64-bit {{version}} or later","Vajalik on 64-bitine {{version}} või hilisem","","Nécessite {{version}} 64-bits ou plus","Nécessite {{version}} 64-bits ou plus","Benötigt 64-bit {{version}} oder neueres","","","","Richiede {{version}} 64-bit o successive","{{version}} 以降 (64bit) が必要です","64비트 버전 {{version}} 이상이 필요합니다","","Krever 64-biters {{version}} eller senere","Wymaga 64-bitowego {{version}} lub późniejszej wersji","","","","Требуется 64-разрядная редакция {{version}} или новее","","Requiere {{version}} de 64 bits o posterior","Requiere {{version}} de 64 bits o posterior","Requiere {{version}} de 64 bits o posterior","Requiere {{version}} de 64 bits o posterior","","","Необхідна 64-розрядна редакція {{version}} або новіше","","","","","Zahtevan je 64-bitni {{version}} ali kasneje","",""
"Download for Windows","","","","Windows 平台下载","下載windows版","","","","","","Download for Windows","Download for Windows","Download for Windows","Laadi alla Windows'ile","","Télécharger pour Windows","Télécharger pour Windows","Download für Windows","","","","Scarica per Windows","Windows版をダウンロード","Windows용 다운로드","","Last ned for Windows","Pobierz dla Windows","","","","Скачать для Windows","","Descargar para Windows","Descargar para Windows","Descargar para Windows","Descargar para Windows","","","Завантажити для Windows","","","","","Prenesi za Windows","",""
"Add to Firefox","","","","添加到 Firefox","新增至Firefox","","","","","","Add to Firefox","Add to Firefox","Add to Firefox","Lisa Firefox'i","","Ajouter à Firefox","Ajouter à Firefox","Bei Firefox hinzufügen","","","","Aggiungi a Firefox","Firefoxに追加","Firefox에 추가","","Legg til i Firefox","Dodaj do Firefox","","","","Добавить в Firefox","","Añadir a Firefox","Añadir a Firefox","Añadir a Firefox","Añadir a Firefox","","","Додати до Firefox","","","","","Dodaj na Firefox","",""
"Add to Edge","","","","添加到微软 Edge 浏览器","新增至Edge","","","","","","Add to Edge","Add to Edge","Add to Edge","Lisa Edge'i","","Ajouter à Edge","Ajouter à Edge","Bei Edge hinzufügen","","","","Aggiungi a Edge","エッジに追加","Edge에 추가","","Legg til i Edge","Dodaj do Edge","","","","Добавить в Edge","","Añadir a Edge","Añadir a Edge","Añadir a Edge","Añadir a Edge","","","Додати в Edge","","","","","Dodaj na Edge","",""
