"source","af","bg","ca","zh_CN","zh_TW","hr","cs","da","nl","en","en_CA","en_GB","en_US","et","fi","fr","fr_CA","de","el","hi","hu","it","ja","ko","mi","no","pl","pt","pt_BR","ro","ru","sr","es","es_AR","es_419","es_US","sv","tr","uk","vi","eo","gd"
"Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","數字格式","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","Formattage des nombres","Formattage des nombres","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","숫자 형식","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","Формат чисел","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting","Number formatting"
"Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abréger les grands nombres (milliers, millions)","Abréger les grands nombres (milliers, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","큰 숫자 줄이기 (천, 만)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Сокращать крупные числа (тысячи, миллионы)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)","Abbreviate large numbers (thousands, millions)"
"Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organisation","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Certains paramètres sont gérés par votre organisation","Certains paramètres sont gérés par votre organisation","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Некоторые настройки управляются Вашим администратором","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization","Some settings are managed by your organization"
"Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organisation","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Les mises à jour sont gérées par votre organisation","Les mises à jour sont gérées par votre organisation","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Обновления управляются Вашим администратором","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization","Updates are managed by your organization"
"Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organisation","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Certains paramètres sont gérés par votre organisation","Certains paramètres sont gérés par votre organisation","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Некоторые настройки скрыты Вашим администратором","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization","Some settings are hidden by your organization"
"ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck n'a pas réussi à ouvrir un lien que vous avez cliqué avec le navigateur par défaut.\n\n(Ceci peut arriver si vous avez l'application Twitter pour Windows d'installée)","ModernDeck n'a pas réussi à ouvrir un lien que vous avez cliqué avec le navigateur par défaut.\n\n(Ceci peut arriver si vous avez l'application Twitter pour Windows d'installée)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck не удалось открыть ссылку в браузере по умолчанию.\n\n(Иногда это происходит из-за того, что у Вас установлено Windows-приложение Твиттера)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)","ModernDeck failed to open a link you clicked in the default browser.\n\n(Sometimes, this can be caused if you have the Twitter for Windows app installed)"
"Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Échec de l'ouverture de l’URL dans le navigateur","Échec de l'ouverture de l’URL dans le navigateur","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Impossibile aprire il link nel browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Не удалось открыть ссылку в браузере","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser","Failed to open link in browser"
"evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","copie d'évaluation","copie d'évaluation","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","пробная версия","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy","evaluation copy"
"Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organisation","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Les mises à jour sont désactivées par votre organisation","Les mises à jour sont désactivées par votre organisation","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Gli aggiornamenti sono disattivati dalla tua organizzazione","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Обновления отключены Вашим администратором","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization","Updates are disabled by your organization"
"Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","檢查更新","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","Rechercher des mises à jour","Rechercher des mises à jour","Check for updates","Check for updates","Check for updates","Check for updates","Cerca aggiornamenti","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","Проверить обновления","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates","Check for updates"
"ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","Les mises à jour de ModernDeck vous aident à rester sécurisé et à ajouter de nouvelles fonctionnalités.","Les mises à jour de ModernDeck vous aident à rester sécurisé et à ajouter de nouvelles fonctionnalités.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","Обновления ModernDeck позволяют Вам оставаться в безопасности и получать новые функции.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features.","ModernDeck updates help keep you secure and add new features."
"Check now","Check now","Check now","Check now","Check now","立即檢查","Check now","Check now","Check now","Check now","Check now","Check now","Check now","Check now","Check now","Check now","Vérifier maintenant","Vérifier maintenant","Check now","Check now","Check now","Check now","Controlla adesso","Check now","Check now","Check now","Check now","Check now","Check now","Check now","Check now","Проверить сейчас","Check now","Check now","Check now","Check now","Check now","Check now","Check now","Check now","Check now","Check now","Check now"
"Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Fil de discussion","Fil de discussion","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Трэд","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread","Thread"
"An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","Une mise à jour pour ModernDeck est disponible","Une mise à jour pour ModernDeck est disponible","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","È disponibile un aggiornamento per ModernDeck","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","Доступно обновление ModernDeck","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available","An update for ModernDeck is available"
"Download","Download","Download","Download","Download","下載","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Télécharger","Télécharger","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Загрузить","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download","Download"
"Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Recevez des notifications en arrière-plan, des fonctionnalités d'entreprise, et plus encore grâce à l'application gratuite <a href='https://moderndeck.org/'>ModernDeck</a>!","Recevez des notifications en arrière-plan, des fonctionnalités d'entreprise, et plus encore grâce à l'application gratuite <a href='https://moderndeck.org/'>ModernDeck</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Ottieni notifiche in background, funzionalità aziendali e altro ancora con l'app gratuita <a href='https://moderndeck.org/'>ModernDeck</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Попробуйте фоновые уведомления, функции администрирования и многое другое в бесплатном <a href='https://moderndeck.org/'>приложении ModernDeck</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!","Get background notifications, enterprise features, and more with the free <a href='https://moderndeck.org/'>ModernDeck App</a>!"
"Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplifié","Simplifié","Simplified","Simplified","Simplified","Simplified","Semplificato","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Упрощённый","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified","Simplified"
"Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classique (TweetDeck)","Classique (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classico (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Классический (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)","Classic (TweetDeck)"
"Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Flouter le contenu des message privés sauf si survolé","Flouter le contenu des message privés sauf si survolé","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Размывать личные сообщения когда курсор не наведён","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over","Blur direct message contents unless hovered over"
"You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customise the theme colours in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","Vous pouvez personnaliser les couleurs du thème dans les <i class='icon icon-settings'></i> <b>paramètres</b>","Vous pouvez personnaliser les couleurs du thème dans les <i class='icon icon-settings'></i> <b>paramètres</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","Вы можете персонализировать цвета темы в <i class='icon icon-settings'></i> <b>Настройках</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>","You can customize the theme colors in <i class='icon icon-settings'></i> <b>Settings</b>"
