"source","af","bg","ca","zh_CN","zh_TW","hr","cs","da","nl","en","en_CA","en_GB","en_US","et","fi","fr","fr_CA","de","el","hi","hu","it","ja","ko","mi","no","pl","pt","pt_BR","ro","ru","sr","es","es_AR","es_419","es_US","sv","tr","uk","vi","eo","gd"
"Symbols","Symbols","Symbols","Symbols","Symbols","符號","Symbols","Symbols","Symbols","Symbols","Symbols","Symbols","Symbols","Symbols","Sümbolid","Symbols","Symboles","Symboles","Symbole","Symbols","Symbols","Symbols","Simboli","Symbols","Symbols","Symbols","Symbols","Symbols","Symbols","Symbols","Symbols","Символы","Symbols","Symbols","Symbols","Symbols","Symbols","Symbols","Symbols","Symbols","Symbols","Symbols","Symbols"
"Flags","Flags","Flags","Flags","Flags","旗幟","Flags","Flags","Flags","Flags","Flags","Flags","Flags","Flags","Lipud","Flags","Marqueurs","Marqueurs","Fahnen und Flaggen","Flags","Flags","Flags","Bandiere","Flags","Flags","Flags","Flags","Flags","Flags","Flags","Flags","Флаги","Flags","Flags","Flags","Flags","Flags","Flags","Flags","Flags","Flags","Flags","Flags"
"No results found.","No results found.","No results found.","No results found.","No results found.","沒有找到結果。","No results found.","No results found.","No results found.","No results found.","No results found.","No results found.","No results found.","No results found.","Tulemusi ei leitud.","No results found.","Aucun résultat trouvé.","Aucun résultat trouvé.","Keine Ergebnisse gefunden.","No results found.","No results found.","No results found.","Nessun risultato trovato.","No results found.","검색 결과가 없습니다.","No results found.","No results found.","No results found.","No results found.","No results found.","No results found.","Ничего не найдено.","No results found.","No results found.","No results found.","No results found.","No results found.","No results found.","No results found.","No results found.","No results found.","No results found.","No results found."
"Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","搜尋表情符號…","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Rechercher des émojis...","Rechercher des émojis...","Emojis durchsuchen...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","이모지 검색...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Поиск эмоджи...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis...","Search emojis..."
"Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT licence.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Fait avec <i class=""icon icon-heart mtd-about-heart""></i> par <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> depuis 2014<br>ModernDeck est <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">un project open source</a> publié sous la license MIT.","Fait avec <i class=""icon icon-heart mtd-about-heart""></i> par <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> depuis 2014<br>ModernDeck est <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">un project open source</a> publié sous la license MIT.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Разработка ведётся с 2014 года <i class=""icon icon-heart mtd-about-heart""></i> <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a>-ом<br>ModernDeck это <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">проект с открытым исходным кодом</a> под лицензией MIT.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license.","Made with <i class=""icon icon-heart mtd-about-heart""></i> by <a href=""https://twitter.com/dangeredwolf"" rel=""user"" target=""_blank"">dangered wolf</a> since 2014<br>ModernDeck is <a href=""https://github.com/dangeredwolf/ModernDeck/"" target=""_blank"">an open source project</a> released under the MIT license."
"Behavior","Behavior","Behavior","Behavior","Behavior","顯示方式","Behavior","Behavior","Behavior","Behavior","Behavior","Behavior","Behaviour","Behavior","Behavior","Behavior","Comportement","Comportement","Behavior","Behavior","Behavior","Behavior","Comportamento","Behavior","Behavior","Behavior","Behavior","Behavior","Behavior","Behavior","Behavior","Поведение","Behavior","Behavior","Behavior","Behavior","Behavior","Behavior","Behavior","Behavior","Behavior","Behavior","Behavior"
"Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","更改語言將重置自定義格式設置並重新啟動","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customisations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changer la langue va réinitialiser les modifications de formatage et redémarrer ModernDeck","Changer la langue va réinitialiser les modifications de formatage et redémarrer ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","언어를 변경하면 형식 설정이 초기화되며 ModernDeck을 재시작해야 합니다.","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Изменение языка сбросит настройки региональных стандартов и перезапустит ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck","Changing your language will reset formatting customizations and restart ModernDeck"
"Formatting","Formatting","Formatting","Formatting","Formatting","格式","Formatting","Formatting","Formatting","Formatting","Formatting","Formatting","Formatting","Formatting","Formatting","Formatting","Formatage","Formatage","Formatting","Formatting","Formatting","Formatting","Formatting","Formatting","형식","Formatting","Formatting","Formatting","Formatting","Formatting","Formatting","Региональные стандарты","Formatting","Formatting","Formatting","Formatting","Formatting","Formatting","Formatting","Formatting","Formatting","Formatting","Formatting"
"Time format","Time format","Time format","Time format","Time format","時間格式","Time format","Time format","Time format","Time format","Time format","Time format","Time format","Time format","Time format","Time format","Format de temps","Format de temps","Time format","Time format","Time format","Time format","Formato ora","Time format","시간 형식","Time format","Time format","Time format","Time format","Time format","Time format","Формат времени","Time format","Time format","Time format","Time format","Time format","Time format","Time format","Time format","Time format","Time format","Time format"
"Language default","Language default","Language default","Language default","Language default","Language default","Language default","Language default","Language default","Language default","Language default","Language default","Language default","Language default","Language default","Language default","Langue par défaut","Langue par défaut","Language default","Language default","Language default","Language default","Language default","Language default","언어 기본값","Language default","Language default","Language default","Language default","Language default","Language default","Региональное умолчание","Language default","Language default","Language default","Language default","Language default","Language default","Language default","Language default","Language default","Language default","Language default"
